"week","day","techno","ecart_type","moyenne"
44,4,"nucleaire",3672.53250237573,43440.7767857143
44,5,"consommation",1371.36956148407,54488.9553571428
44,5,"eolien",2269.91617825135,2682.27976190476
44,5,"solaire",158.763718655875,733.764880952381
44,5,"fil_eau",1227.77267257926,3568.04166666667
44,5,"lac",723.791874419729,2191.86011904762
44,5,"cogeneration",925.818549973589,2224.08630952381
44,5,"nucleaire",3688.0336446041,43004.9523809524
44,6,"consommation",3315.07336295368,53155.4583333333
44,6,"eolien",2069.84257188401,2690.29761904762
44,6,"solaire",274.178423007761,823.14880952381
44,6,"fil_eau",1201.1913998354,3354.32738095238
44,6,"lac",410.1443439504,1912.62202380952
44,6,"cogeneration",977.027346159691,2493.23511904762
44,6,"nucleaire",4007.32483311769,42673.9047619048
44,7,"consommation",3638.04616599615,48605.4107142857
44,7,"eolien",3063.04012099767,3896.8125
44,7,"solaire",250.391142139001,939.889880952381
44,7,"fil_eau",1354.84392224102,3031.99404761905
44,7,"lac",421.741216931892,1340.25892857143
44,7,"cogeneration",744.020833124993,2463.96726190476
44,7,"nucleaire",3680.80974193118,40741.8898809524
45,1,"consommation",4324.25700371481,50331.3928571429
45,1,"eolien",830.328302135396,2557.12797619048
45,1,"solaire",250.708636500301,689.431547619048
45,1,"fil_eau",1278.12087045425,3366.20833333333
45,1,"lac",571.672107407644,1333.42857142857
45,1,"cogeneration",308.861571955443,3310.16666666667
45,1,"nucleaire",2883.46889542921,43146.7857142857
45,2,"consommation",5317.32476218929,56673.6875
45,2,"eolien",2124.79051704384,3541.10416666667
45,2,"solaire",133.321903109393,666.922619047619
45,2,"fil_eau",1438.01248904549,3727.81845238095
45,2,"lac",746.554141302668,2320.01488095238
45,2,"cogeneration",364.927302762148,3401.86904761905
45,2,"nucleaire",3643.97888135148,43944.3779761905
45,3,"consommation",5682.32151809881,58666.9255952381
45,3,"eolien",1515.48862639888,2913.32440476191
45,3,"solaire",190.812277627739,565.690476190476
45,3,"fil_eau",1418.65026656598,3661.13392857143
45,3,"lac",592.234025025287,2569.76785714286
45,3,"cogeneration",420.961554213281,3458.00297619048
45,3,"nucleaire",3295.85874658156,43407.755952381
45,4,"consommation",4609.15558518666,60332.3005952381
45,4,"eolien",2543.01692324372,3510.5625
45,4,"solaire",259.933318939952,585.645833333333
45,4,"fil_eau",1374.76060425759,3884.13690476191
45,4,"lac",919.68643138216,2741.21726190476
45,4,"cogeneration",356.369179771259,3490.56845238095
45,4,"nucleaire",3471.73815619642,43810.1101190476
45,5,"consommation",3037.09244497165,59727.8988095238
45,5,"eolien",2006.98408791756,3040.07738095238
45,5,"solaire",294.210759951934,716.892857142857
45,5,"fil_eau",1455.36122478998,3695.58630952381
45,5,"lac",831.453131807118,2787.58630952381
45,5,"cogeneration",276.268853538271,3443.47023809524
45,5,"nucleaire",4669.37342002807,44228.0982142857
45,6,"consommation",3448.44179910693,59168.3392857143
45,6,"eolien",1703.31386881749,3782.95833333333
45,6,"solaire",226.766894210088,628.309523809524
45,6,"fil_eau",1559.5234339113,3625.58035714286
45,6,"lac",875.381281299074,2725.37202380952
45,6,"cogeneration",289.347542572409,3448.66071428571
45,6,"nucleaire",4495.98240581323,44142.4494047619
45,7,"consommation",3624.53240613348,51681.9613095238
45,7,"eolien",2293.11312974528,3850.79166666667
45,7,"solaire",214.401084235742,555.154761904762
45,7,"fil_eau",1531.52932438437,3328.40476190476
45,7,"lac",568.418246806649,1513.43452380952
45,7,"cogeneration",313.982438300053,3331.22619047619
45,7,"nucleaire",2995.68152868156,43358.556547619
46,1,"consommation",5055.31961700546,52204.5982142857
46,1,"eolien",4049.47548254311,4993.42559523809
46,1,"solaire",154.144749219592,519.342261904762
46,1,"fil_eau",1221.2722042167,3447.33035714286
46,1,"lac",673.343591934513,1263.35714285714
46,1,"cogeneration",354.840010331944,3434.41964285714
46,1,"nucleaire",3853.59403309857,42154.3958333333
46,2,"consommation",4251.80346649708,59023.9285714286
46,2,"eolien",2259.13976968372,3966.00892857143
46,2,"solaire",182.566328568688,555.77380952381
